[ROE Anomaly] GODREJCP Year Mar 2014: Computed 21.70% vs Reported 6.77% | Category: Source discrepancy
[ROE Anomaly] GODREJCP Year Mar 2015: Computed 22.64% vs Reported 6.77% | Category: Source discrepancy
[ROE Anomaly] GODREJCP Year Mar 2016: Computed 19.48% vs Reported 6.77% | Category: Source discrepancy
[ROE Anomaly] GODREJCP Year Mar 2017: Computed 24.67% vs Reported 6.77% | Category: Source discrepancy
[ROE Anomaly] GODREJCP Year Mar 2018: Computed 26.11% vs Reported 6.77% | Category: Source discrepancy
[ROE Anomaly] GODREJCP Year Mar 2019: Computed 32.23% vs Reported 6.77% | Category: Source discrepancy
[ROE Anomaly] GODREJCP Year Mar 2020: Computed 18.95% vs Reported 6.77% | Category: Source discrepancy
[ROE Anomaly] GODREJCP Year Mar 2021: Computed 18.23% vs Reported 6.77% | Category: Source discrepancy
[ROE Anomaly] GODREJCP Year Mar 2022: Computed 15.43% vs Reported 6.77% | Category: Source discrepancy
[ROE Anomaly] GODREJCP Year Mar 2023: Computed 12.34% vs Reported 6.77% | Category: Source discrepancy
[ROE Anomaly] GODREJCP Year Mar 2024: Computed -4.45% vs Reported 6.77% | Category: Source discrepancy
[ROE Anomaly] GRASIM Year Mar 2013: Computed 19.22% vs Reported 6.9% | Category: Source discrepancy
[ROE Anomaly] GRASIM Year Mar 2014: Computed 13.67% vs Reported 6.9% | Category: Source discrepancy
[ROE Anomaly] GRASIM Year Mar 2016: Computed 12.60% vs Reported 6.9% | Category: Source discrepancy
[ROE Anomaly] GRASIM Year Mar 2017: Computed 13.53% vs Reported 6.9% | Category: Source discrepancy
[ROE Anomaly] GRASIM Year Mar 2022: Computed 14.80% vs Reported 6.9% | Category: Source discrepancy
[ROE Anomaly] GRASIM Year Mar 2023: Computed 14.07% vs Reported 6.9% | Category: Source discrepancy
[ROE Anomaly] HAL Year Mar 2016: Computed 1665.00% vs Reported 28.9% | Category: Source discrepancy
[ROE Anomaly] HAL Year Mar 2017: Computed 1966.92% vs Reported 28.9% | Category: Source discrepancy
